noncon,stimulus,category
"images/Emotion/8,1.png","images/Neutral/5,1.png",Neutral
"images/Emotion/3,1.png","images/Neutral/4,1.png",Neutral
"images/Emotion/6,6.png","images/Neutral/7,1.png",Disgust
"images/Emotion/4,6.png","images/Neutral/1,1.png",Disgust
"images/Emotion/7,6.png","images/Neutral/8,1.png",Disgust
"images/Emotion/3,6.png","images/Neutral/4,1.png",Disgust
"images/Emotion/8,6.png","images/Neutral/5,1.png",Disgust
"images/Emotion/2,6.png","images/Neutral/3,1.png",Disgust
"images/Emotion/1,6.png","images/Neutral/2,1.png",Disgust
"images/Emotion/5,6.png","images/Neutral/6,1.png",Disgust
"images/Emotion/2,2.png","images/Neutral/3,1.png",Happy
"images/Emotion/8,2.png","images/Neutral/5,1.png",Happy
"images/Emotion/7,2.png","images/Neutral/8,1.png",Happy
"images/Emotion/3,2.png","images/Neutral/4,1.png",Happy
"images/Emotion/4,2.png","images/Neutral/1,1.png",Happy
"images/Emotion/1,2.png","images/Neutral/2,1.png",Happy
"images/Emotion/6,2.png","images/Neutral/7,1.png",Happy
"images/Emotion/5,2.png","images/Neutral/6,1.png",Happy
"images/Emotion/1,4.png","images/Neutral/2,1.png",Anger
"images/Emotion/5,4.png","images/Neutral/6,1.png",Anger
"images/Emotion/3,4.png","images/Neutral/4,1.png",Anger
"images/Emotion/6,4.png","images/Neutral/7,1.png",Anger
"images/Emotion/8,4.png","images/Neutral/5,1.png",Anger
"images/Emotion/7,4.png","images/Neutral/8,1.png",Anger
"images/Emotion/2,4.png","images/Neutral/3,1.png",Anger
"images/Emotion/4,4.png","images/Neutral/1,1.png",Anger
"images/Emotion/2,2.png","images/Neutral/3,1.png",Happy
"images/Emotion/8,2.png","images/Neutral/5,1.png",Happy
"images/Emotion/7,2.png","images/Neutral/8,1.png",Happy
"images/Emotion/3,2.png","images/Neutral/4,1.png",Happy
"images/Emotion/4,2.png","images/Neutral/1,1.png",Happy
"images/Emotion/1,2.png","images/Neutral/2,1.png",Happy
"images/Emotion/6,2.png","images/Neutral/7,1.png",Happy
"images/Emotion/5,2.png","images/Neutral/6,1.png",Happy
"images/Emotion/8,5.png","images/Neutral/5,1.png",Sad
"images/Emotion/7,5.png","images/Neutral/8,1.png",Sad
"images/Emotion/3,5.png","images/Neutral/4,1.png",Sad
"images/Emotion/1,5.png","images/Neutral/2,1.png",Sad
"images/Emotion/5,5.png","images/Neutral/6,1.png",Sad
"images/Emotion/6,5.png","images/Neutral/7,1.png",Sad
"images/Emotion/2,5.png","images/Neutral/3,1.png",Sad
"images/Emotion/4,5.png","images/Neutral/1,1.png",Sad
"images/Emotion/6,3.png","images/Neutral/7,1.png",Fear
"images/Emotion/8,3.png","images/Neutral/5,1.png",Fear
"images/Emotion/7,3.png","images/Neutral/8,1.png",Fear
"images/Emotion/5,3.png","images/Neutral/6,1.png",Fear
"images/Emotion/1,3.png","images/Neutral/2,1.png",Fear
"images/Emotion/4,3.png","images/Neutral/1,1.png",Fear
"images/Emotion/3,3.png","images/Neutral/4,1.png",Fear
"images/Emotion/2,3.png","images/Neutral/3,1.png",Fear
"images/Emotion/6,6.png","images/Neutral/7,1.png",Disgust
"images/Emotion/4,6.png","images/Neutral/1,1.png",Disgust
"images/Emotion/7,6.png","images/Neutral/8,1.png",Disgust
"images/Emotion/3,6.png","images/Neutral/4,1.png",Disgust
"images/Emotion/8,6.png","images/Neutral/5,1.png",Disgust
"images/Emotion/2,6.png","images/Neutral/3,1.png",Disgust
"images/Emotion/1,6.png","images/Neutral/2,1.png",Disgust
"images/Emotion/5,6.png","images/Neutral/6,1.png",Disgust
"images/Emotion/6,3.png","images/Neutral/7,1.png",Fear
"images/Emotion/8,3.png","images/Neutral/5,1.png",Fear
"images/Emotion/7,3.png","images/Neutral/8,1.png",Fear
"images/Emotion/5,3.png","images/Neutral/6,1.png",Fear
"images/Emotion/1,3.png","images/Neutral/2,1.png",Fear
"images/Emotion/4,3.png","images/Neutral/1,1.png",Fear
"images/Emotion/3,3.png","images/Neutral/4,1.png",Fear
"images/Emotion/2,3.png","images/Neutral/3,1.png",Fear
"images/Emotion/1,1.png","images/Neutral/2,1.png",Neutral
"images/Emotion/7,1.png","images/Neutral/8,1.png",Neutral
"images/Emotion/6,1.png","images/Neutral/7,1.png",Neutral
"images/Emotion/2,1.png","images/Neutral/3,1.png",Neutral
"images/Emotion/4,1.png","images/Neutral/1,1.png",Neutral
"images/Emotion/5,1.png","images/Neutral/6,1.png",Neutral
"images/Emotion/8,1.png","images/Neutral/5,1.png",Neutral
"images/Emotion/3,1.png","images/Neutral/4,1.png",Neutral
"images/Emotion/8,5.png","images/Neutral/5,1.png",Sad
"images/Emotion/7,5.png","images/Neutral/8,1.png",Sad
"images/Emotion/3,5.png","images/Neutral/4,1.png",Sad
"images/Emotion/1,5.png","images/Neutral/2,1.png",Sad
"images/Emotion/5,5.png","images/Neutral/6,1.png",Sad
"images/Emotion/6,5.png","images/Neutral/7,1.png",Sad
"images/Emotion/2,5.png","images/Neutral/3,1.png",Sad
"images/Emotion/4,5.png","images/Neutral/1,1.png",Sad
"images/Emotion/1,1.png","images/Neutral/2,1.png",Neutral
"images/Emotion/7,1.png","images/Neutral/8,1.png",Neutral
"images/Emotion/6,1.png","images/Neutral/7,1.png",Neutral
"images/Emotion/2,1.png","images/Neutral/3,1.png",Neutral
"images/Emotion/4,1.png","images/Neutral/1,1.png",Neutral
"images/Emotion/5,1.png","images/Neutral/6,1.png",Neutral
"images/Emotion/8,1.png","images/Neutral/5,1.png",Neutral
"images/Emotion/3,1.png","images/Neutral/4,1.png",Neutral
"images/Emotion/6,6.png","images/Neutral/7,1.png",Disgust
"images/Emotion/4,6.png","images/Neutral/1,1.png",Disgust
"images/Emotion/7,6.png","images/Neutral/8,1.png",Disgust
"images/Emotion/3,6.png","images/Neutral/4,1.png",Disgust
"images/Emotion/8,6.png","images/Neutral/5,1.png",Disgust
"images/Emotion/2,6.png","images/Neutral/3,1.png",Disgust
"images/Emotion/1,6.png","images/Neutral/2,1.png",Disgust
"images/Emotion/5,6.png","images/Neutral/6,1.png",Disgust
"images/Emotion/1,1.png","images/Neutral/2,1.png",Neutral
"images/Emotion/7,1.png","images/Neutral/8,1.png",Neutral
"images/Emotion/6,1.png","images/Neutral/7,1.png",Neutral
"images/Emotion/2,1.png","images/Neutral/3,1.png",Neutral
"images/Emotion/4,1.png","images/Neutral/1,1.png",Neutral
"images/Emotion/5,1.png","images/Neutral/6,1.png",Neutral
"images/Emotion/8,1.png","images/Neutral/5,1.png",Neutral
"images/Emotion/3,1.png","images/Neutral/4,1.png",Neutral
"images/Emotion/2,2.png","images/Neutral/3,1.png",Happy
"images/Emotion/8,2.png","images/Neutral/5,1.png",Happy
"images/Emotion/7,2.png","images/Neutral/8,1.png",Happy
"images/Emotion/3,2.png","images/Neutral/4,1.png",Happy
"images/Emotion/4,2.png","images/Neutral/1,1.png",Happy
"images/Emotion/1,2.png","images/Neutral/2,1.png",Happy
"images/Emotion/6,2.png","images/Neutral/7,1.png",Happy
"images/Emotion/5,2.png","images/Neutral/6,1.png",Happy
"images/Emotion/6,3.png","images/Neutral/7,1.png",Fear
"images/Emotion/8,3.png","images/Neutral/5,1.png",Fear
"images/Emotion/7,3.png","images/Neutral/8,1.png",Fear
"images/Emotion/5,3.png","images/Neutral/6,1.png",Fear
"images/Emotion/1,3.png","images/Neutral/2,1.png",Fear
"images/Emotion/4,3.png","images/Neutral/1,1.png",Fear
"images/Emotion/3,3.png","images/Neutral/4,1.png",Fear
"images/Emotion/2,3.png","images/Neutral/3,1.png",Fear
"images/Emotion/8,5.png","images/Neutral/5,1.png",Sad
"images/Emotion/7,5.png","images/Neutral/8,1.png",Sad
"images/Emotion/3,5.png","images/Neutral/4,1.png",Sad
"images/Emotion/1,5.png","images/Neutral/2,1.png",Sad
"images/Emotion/5,5.png","images/Neutral/6,1.png",Sad
"images/Emotion/6,5.png","images/Neutral/7,1.png",Sad
"images/Emotion/2,5.png","images/Neutral/3,1.png",Sad
"images/Emotion/4,5.png","images/Neutral/1,1.png",Sad
"images/Emotion/6,3.png","images/Neutral/7,1.png",Fear
"images/Emotion/8,3.png","images/Neutral/5,1.png",Fear
"images/Emotion/7,3.png","images/Neutral/8,1.png",Fear
"images/Emotion/5,3.png","images/Neutral/6,1.png",Fear
"images/Emotion/1,3.png","images/Neutral/2,1.png",Fear
"images/Emotion/4,3.png","images/Neutral/1,1.png",Fear
"images/Emotion/3,3.png","images/Neutral/4,1.png",Fear
"images/Emotion/2,3.png","images/Neutral/3,1.png",Fear
"images/Emotion/1,4.png","images/Neutral/2,1.png",Anger
"images/Emotion/5,4.png","images/Neutral/6,1.png",Anger
"images/Emotion/3,4.png","images/Neutral/4,1.png",Anger
"images/Emotion/6,4.png","images/Neutral/7,1.png",Anger
"images/Emotion/8,4.png","images/Neutral/5,1.png",Anger
"images/Emotion/7,4.png","images/Neutral/8,1.png",Anger
"images/Emotion/2,4.png","images/Neutral/3,1.png",Anger
"images/Emotion/4,4.png","images/Neutral/1,1.png",Anger
"images/Emotion/8,5.png","images/Neutral/5,1.png",Sad
"images/Emotion/7,5.png","images/Neutral/8,1.png",Sad
"images/Emotion/3,5.png","images/Neutral/4,1.png",Sad
"images/Emotion/1,5.png","images/Neutral/2,1.png",Sad
"images/Emotion/5,5.png","images/Neutral/6,1.png",Sad
"images/Emotion/6,5.png","images/Neutral/7,1.png",Sad
"images/Emotion/2,5.png","images/Neutral/3,1.png",Sad
"images/Emotion/4,5.png","images/Neutral/1,1.png",Sad
"images/Emotion/1,4.png","images/Neutral/2,1.png",Anger
"images/Emotion/5,4.png","images/Neutral/6,1.png",Anger
"images/Emotion/3,4.png","images/Neutral/4,1.png",Anger
"images/Emotion/6,4.png","images/Neutral/7,1.png",Anger
"images/Emotion/8,4.png","images/Neutral/5,1.png",Anger
"images/Emotion/7,4.png","images/Neutral/8,1.png",Anger
"images/Emotion/2,4.png","images/Neutral/3,1.png",Anger
"images/Emotion/4,4.png","images/Neutral/1,1.png",Anger
"images/Emotion/2,2.png","images/Neutral/3,1.png",Happy
"images/Emotion/8,2.png","images/Neutral/5,1.png",Happy
"images/Emotion/7,2.png","images/Neutral/8,1.png",Happy
"images/Emotion/3,2.png","images/Neutral/4,1.png",Happy
"images/Emotion/4,2.png","images/Neutral/1,1.png",Happy
"images/Emotion/1,2.png","images/Neutral/2,1.png",Happy
"images/Emotion/6,2.png","images/Neutral/7,1.png",Happy
"images/Emotion/5,2.png","images/Neutral/6,1.png",Happy
"images/Emotion/8,5.png","images/Neutral/5,1.png",Sad
"images/Emotion/7,5.png","images/Neutral/8,1.png",Sad
"images/Emotion/3,5.png","images/Neutral/4,1.png",Sad
"images/Emotion/1,5.png","images/Neutral/2,1.png",Sad
"images/Emotion/5,5.png","images/Neutral/6,1.png",Sad
"images/Emotion/6,5.png","images/Neutral/7,1.png",Sad
"images/Emotion/2,5.png","images/Neutral/3,1.png",Sad
"images/Emotion/4,5.png","images/Neutral/1,1.png",Sad
"images/Emotion/6,6.png","images/Neutral/7,1.png",Disgust
"images/Emotion/4,6.png","images/Neutral/1,1.png",Disgust
"images/Emotion/7,6.png","images/Neutral/8,1.png",Disgust
"images/Emotion/3,6.png","images/Neutral/4,1.png",Disgust
"images/Emotion/8,6.png","images/Neutral/5,1.png",Disgust
"images/Emotion/2,6.png","images/Neutral/3,1.png",Disgust
"images/Emotion/1,6.png","images/Neutral/2,1.png",Disgust
"images/Emotion/5,6.png","images/Neutral/6,1.png",Disgust
